eps,p_infty,sigma_bar,M_bar,escaped_frac
0,1,0.40178595,0,0
0.048780488,1,0.40561215,0,0
0.097560976,1,0.40373788,0,0
0.14634146,1,0.4008256,0,0
0.19512195,1,0.39612846,0,0
0.24390244,1,0.38857639,0,0
0.29268293,1,0.37847076,0,0
0.34146341,1,0.36814915,0,0
0.3902439,1,0.35649872,0,0
0.43902439,0.5,0.027408338,0.99240187,0
0.48780488,0.5,0.0014949756,0.99495667,0
0.53658537,0.5,0.0008935263,0.99613587,0
0.58536585,0.5,0.00051451909,0.99324653,0
0.63414634,0.5,0.00031574402,0.99461387,0
0.68292683,0.5,0.00020968523,0.99647867,0
0.73170732,0.5,0.0001436731,0.9974512,0
0.7804878,0.5,9.9155045e-05,0.99814693,0
0.82926829,0.5,6.6593018e-05,0.9972828,0
0.87804878,0.5,4.1798804e-05,0.99870613,0
0.92682927,0.5,2.2301221e-05,0.99887707,0
0.97560976,0.5,6.7624642e-06,0.99933333,0
1.0243902,0.5,6.7615024e-06,0.99933333,0
1.0731707,0.0119,2.2287712e-05,0.99868253,0
1.1219512,0,4.1803065e-05,0.99841853,0
1.1707317,0,6.6952017e-05,0.9979248,0
1.2195122,0,9.9585395e-05,0.9977216,0
1.2682927,0,0.00014443318,0.99749987,0
1.3170732,0,0.00020868342,0.99538067,0
1.3658537,0,0.00031503582,0.995606,0
1.4146341,0,0.00050899145,0.9936056,0
1.4634146,0,0.00093506535,0.9956656,0
1.5121951,0,0.001468047,0.99521387,0
1.5609756,0,0.34048907,2.6666667e-07,0
1.6097561,0,0.34302959,6.2666667e-06,0
1.6585366,0,0.35509135,8.4e-06,0
1.7073171,0,0.36281978,4.12e-05,0
1.7560976,0,0.36957704,4.68e-05,0
1.804878,0,0.36915751,8.2266667e-05,0
1.8536585,0,0.37202946,0.00013573333,0
1.902439,0,0.38167867,0.00064213333,0
1.9512195,0,0.3867234,0.0014524,0
2,0,0.39275025,0.00030346667,0
